E-table state encoding (flip, slice_id, edge8_perm, slice_perm)
======================================================================

E0001 [   0,494, 6530, 1] [ 9步] U翻棱:L2 D' | D归位:F2 D' | 中层:L2 B2 | 收尾:U R2 D2
E0002 [   0,494, 6943,22] [14步] U翻棱:R2 B2 L2 | D归位:U R2 B2 D | 中层:B2 L2 D | 收尾:B2 D' L2 U
E0003 [   0,494,22183,14] [11步] U翻棱:F2 U' | D归位:F2 D' L2 | 中层:F2 B2 D | 收尾:B2 D2 L2
E0004 [   0,494,34196,21] [ 7步] U翻棱:F2 | D归位:U2 D2 | 中层:F2 U2 | 收尾:R2 D2
E0005 [   0,494, 4744,15] [ 5步] U翻棱:U2 | D归位:D' | 中层:R2 | 收尾:B2 U2
E0006 [   0,494, 7608,18] [ 7步] U翻棱:F2 | D归位:B2 L2 | 中层:D B2 | 收尾:L2 U
E0007 [   0,494,23398,10] [ 4步] U翻棱:D2 | D归位:F2 | 中层:B2 | 收尾:R2
E0008 [   0,494,24099, 1] [11步] U翻棱:R2 U' | D归位:R2 U D | 中层:B2 R2 L2 | 收尾:U' R2 L2
E0009 [   0,494,26937,11] [ 4步] U翻棱:U | D归位:D' | 中层:F2 | 收尾:R2
E0010 [   0,494, 7569, 8] [ 5步] U翻棱:D2 | D归位:L2 | 中层:F2 | 收尾:U D
E0011 [   0,494, 4870, 2] [ 5步] U翻棱:F2 | D归位:D | 中层:F2 | 收尾:L2 D
E0012 [   0,494,37036, 7] [ 5步] U翻棱:D | D归位:B2 | 中层:U | 收尾:F2 D2
E0013 [   0,494, 5898, 0] [ 2步] U翻棱:U | D归位: | 中层: | 收尾:D
E0014 [   0,494,24004,17] [ 9步] U翻棱:U' F2 | D归位:B2 U | 中层:R2 L2 | 收尾:F2 U D'
E0015 [   0,494,27125, 1] [ 7步] U翻棱:U | D归位:B2 D2 | 中层:F2 D | 收尾:F2 D'
E0016 [   0,494, 8646,12] [10步] U翻棱:U' D | D归位:F2 D' F2 | 中层:L2 U2 | 收尾:F2 L2 F2
E0017 [   0,494, 6141,21] [ 8步] U翻棱:U' L2 | D归位:F2 L2 | 中层:U' R2 | 收尾:U' B2
E0018 [   0,494,30093,20] [12步] U翻棱:U2 L2 U' | D归位:F2 U D2 | 中层:F2 B2 R2 | 收尾:U F2 U2
E0019 [   0,494,31578,10] [ 7步] U翻棱:L2 | D归位:F2 U' | 中层:D2 B2 | 收尾:U2 D
E0020 [   0,494,25206, 1] [ 4步] U翻棱:U' | D归位:D2 | 中层:B2 | 收尾:D2
