ep_0..11,canonical_id,sym_index,length,formula
0 1 2 3 4 5 6 7 8 9 10 11,C001,0,0,
0 1 2 3 4 5 6 7 8 10 11 9,C002,0,6,U D' B2 U' D L2
0 1 2 3 4 5 6 7 8 11 9 10,C002,3,6,D U' L2 D' U B2
0 1 2 3 4 5 6 7 9 8 11 10,C003,0,6,U2 F2 U2 D2 B2 D2
0 1 2 3 4 5 6 7 9 10 8 11,C002,6,6,U D' L2 U' D F2
0 1 2 3 4 5 6 7 9 11 10 8,C002,4,6,U D' F2 U' D R2
0 1 2 3 4 5 6 7 10 8 9 11,C002,5,6,D U' F2 D' U L2
0 1 2 3 4 5 6 7 10 9 11 8,C002,2,6,U D' R2 U' D B2
0 1 2 3 4 5 6 7 10 11 8 9,C008,0,8,U R2 L2 U' D F2 B2 D'
0 1 2 3 4 5 6 7 11 8 10 9,C002,7,6,D U' R2 D' U F2
0 1 2 3 4 5 6 7 11 9 8 10,C002,1,6,D U' B2 D' U R2
0 1 2 3 4 5 6 7 11 10 9 8,C003,2,6,U2 L2 U2 D2 R2 D2
0 1 2 3 4 5 7 6 8 9 11 10,C062,0,11,B2 U R2 F2 D2 F2 R2 U2 B2 U B2
0 1 2 3 4 5 7 6 8 10 9 11,C063,0,11,L2 U R2 D2 F2 L2 D2 R2 B2 U L2
0 1 2 3 4 5 7 6 8 11 10 9,C064,0,11,L2 D F2 U2 R2 B2 U2 F2 L2 D L2
0 1 2 3 4 5 7 6 9 8 10 11,C065,0,11,B2 U R2 F2 U2 B2 L2 D2 B2 U B2
0 1 2 3 4 5 7 6 9 10 11 8,C136,0,12,L2 U R2 U2 B2 R2 U' D' F2 R2 D L2
0 1 2 3 4 5 7 6 9 11 8 10,C137,0,12,L2 U R2 U D R2 F2 U2 B2 L2 D L2
0 1 2 3 4 5 7 6 10 8 11 9,C138,0,12,L2 U L2 U D R2 B2 U2 F2 L2 D L2
0 1 2 3 4 5 7 6 10 9 8 11,C066,0,11,L2 D F2 D2 R2 B2 U2 B2 R2 D L2
0 1 2 3 4 5 7 6 10 11 9 8,C139,0,12,B2 U R2 F2 U' D' R2 B2 D2 R2 D B2
0 1 2 3 4 5 7 6 11 8 9 10,C140,0,12,L2 U R2 D2 B2 R2 U' D' B2 L2 D L2
0 1 2 3 4 5 7 6 11 9 10 8,C067,0,11,L2 U R2 U2 F2 L2 D2 L2 F2 U L2
0 1 2 3 4 5 7 6 11 10 8 9,C141,0,12,B2 U R2 B2 U' D' L2 B2 D2 L2 D B2
0 1 2 3 4 6 5 7 8 9 11 10,C067,6,11,F2 U B2 U2 R2 F2 D2 F2 R2 U F2
0 1 2 3 4 6 5 7 8 10 9 11,C062,6,11,L2 U B2 R2 D2 R2 B2 U2 L2 U L2
0 1 2 3 4 6 5 7 8 11 10 9,C066,6,11,F2 D R2 D2 B2 L2 U2 L2 B2 D F2
0 1 2 3 4 6 5 7 9 8 10 11,C063,6,11,F2 U B2 D2 R2 F2 D2 B2 L2 U F2
0 1 2 3 4 6 5 7 9 10 11 8,C136,6,12,F2 U B2 U2 L2 B2 U' D' R2 B2 D F2
0 1 2 3 4 6 5 7 9 11 8 10,C141,6,12,L2 U B2 L2 U' D' F2 L2 D2 F2 D L2
0 1 2 3 4 6 5 7 10 8 11 9,C139,6,12,L2 U B2 R2 U' D' B2 L2 D2 B2 D L2
0 1 2 3 4 6 5 7 10 9 8 11,C064,6,11,F2 D R2 U2 B2 L2 U2 R2 F2 D F2
0 1 2 3 4 6 5 7 10 11 9 8,C137,6,12,F2 U B2 U D B2 R2 U2 L2 F2 D F2
0 1 2 3 4 6 5 7 11 8 9 10,C140,6,12,F2 U B2 D2 L2 B2 U' D' L2 F2 D F2
0 1 2 3 4 6 5 7 11 9 10 8,C065,6,11,L2 U B2 R2 U2 L2 F2 D2 L2 U L2
0 1 2 3 4 6 5 7 11 10 8 9,C138,6,12,F2 U F2 U D B2 L2 U2 R2 F2 D F2
0 1 2 3 4 6 7 5 8 9 10 11,C068,0,11,F2 U F2 R2 B2 D' R2 F2 L2 U2 F2
0 1 2 3 4 6 7 5 8 10 11 9,C142,0,12,F2 R2 L2 D L2 U' F2 B2 U F2 D' F2
0 1 2 3 4 6 7 5 8 11 9 10,C143,0,12,F2 R2 L2 U B2 D' F2 B2 D L2 U' F2
0 1 2 3 4 6 7 5 9 8 11 10,C144,0,12,L2 U R2 B2 R2 U' D' B2 L2 B2 D L2
0 1 2 3 4 6 7 5 9 10 8 11,C145,0,12,R2 B2 U' L2 U B2 R2 F2 U L2 U' F2
