corner_class,edge_class,canonical_a,canonical_b,sym,length
0,0,0,0,0,0
0,3,0,3,0,6
0,12,0,12,0,5
0,27,0,12,1,5
0,21,0,12,4,5
0,34,0,12,5,5
0,14,0,14,0,5
0,35,0,14,1,5
0,29,0,14,2,5
0,22,0,14,3,5
0,15,0,15,0,7
0,36,0,15,1,7
0,30,0,15,2,7
0,23,0,15,3,7
0,17,0,17,0,7
0,32,0,17,1,7
0,24,0,17,4,7
0,37,0,17,5,7
0,42,0,42,0,6
0,68,0,42,1,6
0,67,0,42,2,6
0,43,0,42,3,6
0,65,0,42,4,6
0,47,0,42,5,6
0,46,0,42,6,6
0,66,0,42,7,6
0,48,0,48,0,8
0,72,0,48,1,8
0,52,0,48,2,8
0,70,0,48,3,8
0,69,0,48,4,8
0,53,0,48,5,8
0,71,0,48,6,8
0,49,0,48,7,8
0,54,0,54,0,4
0,79,0,54,1,4
0,55,0,55,0,7
0,58,0,55,2,7
0,61,0,55,3,7
0,74,0,55,4,7
0,57,0,57,0,7
0,64,0,57,1,7
0,73,0,57,2,7
0,60,0,57,6,7
0,86,0,86,0,6
0,90,0,86,1,6
0,88,0,86,2,6
0,91,0,86,3,6
0,87,0,87,0,7
0,100,0,87,1,7
0,101,0,87,4,7
0,89,0,87,5,7
0,104,0,104,0,5
0,117,0,104,1,5
0,118,0,104,2,5
0,106,0,104,3,5
0,105,0,104,4,5
0,116,0,104,5,5
0,119,0,104,6,5
0,107,0,104,7,5
0,108,0,108,0,6
0,109,0,108,1,6
0,112,0,108,2,6
0,111,0,108,3,6
0,114,0,108,4,6
0,115,0,108,5,6
0,110,0,108,6,6
0,113,0,108,7,6
0,136,0,136,0,6
0,137,0,136,1,6
1,1,1,1,0,1
2,2,1,1,1,1
1,2,1,2,0,5
2,1,1,2,1,5
1,4,1,4,0,4
2,9,1,4,1,4
1,6,1,4,2,4
2,10,1,4,3,4
1,5,1,4,4,4
2,8,1,4,5,4
1,7,1,4,6,4
2,11,1,4,7,4
1,8,1,8,0,6
2,5,1,8,1,6
1,10,1,8,2,6
2,6,1,8,3,6
1,9,1,8,4,6
2,4,1,8,5,6
1,11,1,8,6,6
2,7,1,8,7,6
1,13,1,13,0,5
2,38,1,13,1,5
1,28,1,13,2,5
2,41,1,13,3,5
1,16,1,13,4,5
2,39,1,13,5,5
1,31,1,13,6,5
2,40,1,13,7,5
1,18,1,18,0,3
2,33,1,18,1,3
1,33,1,18,2,3
2,18,1,18,3,3
1,19,1,19,0,7
2,20,1,19,1,7
1,25,1,19,2,7
2,26,1,19,3,7
1,26,1,19,4,7
2,25,1,19,5,7
1,20,1,19,6,7
2,19,1,19,7,7
1,38,1,38,0,7
2,13,1,38,1,7
1,40,1,38,2,7
2,31,1,38,3,7
1,39,1,38,4,7
2,16,1,38,5,7
1,41,1,38,6,7
2,28,1,38,7,7
1,44,1,44,0,7
2,51,1,44,1,7
1,76,1,44,2,7
2,76,1,44,3,7
1,51,1,44,4,7
2,44,1,44,5,7
1,77,1,44,6,7
2,77,1,44,7,7
1,45,1,45,0,7
2,50,1,45,1,7
1,75,1,45,2,7
2,75,1,45,3,7
1,50,1,45,4,7
2,45,1,45,5,7
1,78,1,45,6,7
2,78,1,45,7,7
1,56,1,56,0,8
2,63,1,56,1,8
1,63,1,56,2,8
2,56,1,56,3,8
1,59,1,56,4,8
2,62,1,56,5,8
1,62,1,56,6,8
2,59,1,56,7,8
1,80,1,80,0,7
2,97,1,80,1,7
